Job Profile,Company,Location,CTC,EXPERIENCE,LOGO
Online English Teacher - Work From Home,PlanetSpark,Hyderabad,"₹ 3,00,000",1-5 years,none
Business Development Executive,Urban NXT,Mumbai,"₹ 2,00,000 - 3,00,000",0-5 years,https://internshala-uploads.internshala.com/logo%2F62fb5a41460d21660639809.jpg.webp
Social Media Marketing Manager,Urban NXT,Mumbai,"₹ 2,00,000 - 3,00,000",0-5 years,https://internshala-uploads.internshala.com/logo%2F62fb5a41460d21660639809.jpg.webp
Mechanical Design Engineer,CAD Dzigner,Mumbai,"₹ 3,00,000 - 4,00,000",1-2 years,https://internshala-uploads.internshala.com/logo%2F642abda23ea6c1680522658.png.webp
Sales Associate,PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",0-4 years,none
Accounts Executive,Ekostay LLP,Mumbai,"₹ 2,00,000 - 2,40,000",1-2 years,none
Corporate Sales Associate,Nexstep Infotech Private Limited,Mumbai,"₹ 3,00,000 - 6,00,000",1-3 years,none
Associate Telecaller,Best Roadways Limited,Mumbai,"₹ 2,50,000",1-3 years,https://internshala-uploads.internshala.com/logo%2F649aa45519b471687856213.png.webp
Sales Representative,PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",1-5 years,none
Associate Telecaller,Paisabazaar,Mumbai,"₹ 2,50,000 - 2,75,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F3umoyoz71ze-18379.png.webp
Corporate Sales Executive,Thomas Cook,"Faridabad, Delhi, Gurgaon","₹ 2,50,000 - 3,00,000",0-2 years,none
Customer Service Associate,Paisabazaar,Gurgaon,"₹ 2,67,000 - 3,00,000",0-3 years,https://internshala-uploads.internshala.com/logo%2F3umoyoz71ze-18379.png.webp
Sales Executive,PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",0-5 years,none
Executive - Music Tracking (Contractual),Saregama India Limited,Kolkata,"₹ 2,00,000 - 2,16,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F61b885deac9751639482846.png.webp
Patient Counselor,Lupin Digital Health,"Mumbai, Jaipur","₹ 2,20,000 - 3,18,000",0-2 years,none
Lyfe Care Manager,Lupin Digital Health,Work from home,"₹ 3,50,000 - 4,00,000",0-2 years,none
Senior Sales Associate,PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",1-5 years,none
Online English Tutor-WFH,PlanetSpark,Mumbai,"₹ 3,00,000",1-5 years,none
English Tutor-WFH,PlanetSpark,Delhi,"₹ 3,00,000",1-5 years,none
English Teacher - Work From Home,PlanetSpark,Pune,"₹ 3,00,000",1-5 years,none
English Teacher,PlanetSpark,Bangalore,"₹ 3,00,000",1-5 years,none
.NET Developer,Hansa Cequity,"Thane, Navi Mumbai, Mumbai","₹ 5,00,000 - 7,00,000",2-5 years,https://internshala-uploads.internshala.com/logo%2F64ae54d574f1c1689146581.jpg.webp
Associate Center Manager,Cultfit Healthcare Private Limited,"Delhi, Ghaziabad, Gurgaon, Noida","₹ 2,40,000 - 2,70,000",0-3 years,https://internshala-uploads.internshala.com/logo%2F6373366b0e32e1668494955.jpg.webp
Growth Associate - Influencer Partnership,Bhanzu (Formerly Exploring Infinities),Bangalore,"₹ 3,00,000 - 3,60,000",0-3 years,none
Telecaller,Paisabazaar,Gurgaon,"₹ 2,00,000 - 3,00,000",0-5 years,https://internshala-uploads.internshala.com/logo%2F3umoyoz71ze-18379.png.webp
Inside Sale Executive,IndiaMART InterMESH Limited,Noida,"₹ 3,00,000 - 3,60,000",0-2 years,https://internshala-uploads.internshala.com/logo%2F61b380f860b701639153912.png.webp
Business Development Associate,Urban Company,"Pune, Mumbai","₹ 2,80,000 - 3,50,000",0 years,https://internshala-uploads.internshala.com/logo%2F5dvketocbza-31220.jpg.webp
Junior Operations Executive,MyGate,Bangalore,"₹ 2,50,000 - 3,00,000",0-3 years,none
HR Trainee,Wipro Infrastructure Engineering,Bangalore,"₹ 3,00,000 - 3,20,000",0-1 years,https://internshala-uploads.internshala.com/logo%2F646483003b11b1684308736.png.webp
Graphic Designer,ITV Network Private Limited,Delhi,"₹ 3,00,000 - 4,00,000",0-1 years,none
Data Entry Executive,Collegedunia,Work from home,"₹ 2,00,000 - 2,00,002",0-1 years,none
Data Entry Executive,College Dunia,Work from home,"₹ 2,00,000 - 2,00,002",0-1 years,none
Data Entry Executive,College Dunia,Work from home,"₹ 2,00,000 - 2,00,002",0-1 years,none
Business Development Associate,Urban Company,Pune,"₹ 3,00,000",1 year,none
OMNI SPORT LEADER FITNESS,Decathlon Sports India,Gurgaon,"₹ 2,00,000 - 2,10,000",0 years,https://internshala-uploads.internshala.com/logo%2Fjo7x6pm42co-5982.png.webp
Human Resources (HR) Executive,PolicyBazaar.com,Gurgaon,"₹ 3,00,000 - 4,00,000",1-2 years,none
Omni Sports Leader,Decathlon Sports India  Private Limited,Ghaziabad,"₹ 2,00,000 - 3,12,000",0 years,https://internshala-uploads.internshala.com/logo%2F9ojp1svpn08-19279.png.webp
Java Developer,Ghar Pe Shiksha,Delhi,"₹ 2,50,000 - 3,50,000",1 year,https://internshala-uploads.internshala.com/logo%2F5e2fdd3b05e211580195131.png.webp
Sales Officer,HDFC ERGO General Insurance Company Limited,"Sitapur, Sikar","₹ 2,00,000 - 3,50,000",0-5 years,none
Business Development Associate,Urban Company,Bangalore,"₹ 3,00,000 - 3,50,000",0-1 years,none
Business Development Associate,BYJUs,Work from home,"₹ 5,00,000 - 5,76,000",0-3 years,none
HR Payroll Specialist,AQM Technologies Private Limited,Mumbai,"₹ 5,00,000 - 5,50,000",4-5 years,none
Customer Service Associate,Timezone Entertainment Private Limited,"Chennai, Pune, Hyderabad, Mumbai","₹ 2,00,000 - 2,20,000",0-3 years,none
Client Acquisition Specialist,PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",0-5 years,none
Academic Counsellor (Odia & Hindi),CollegeDekho.com,Kolkata,"₹ 2,20,000 - 2,80,000",0-4 years,none
Business Development Associate,HDFC ERGO General Insurance Company Limited,"Idukki, Kundapura","₹ 2,76,500 - 3,50,000",0-2 years,none
Business Development Associate (BDA),PlanetSpark,Gurgaon,"₹ 6,00,000 - 7,00,000",0-5 years,none
Data Entry Executive,SIA Group,Hyderabad,"₹ 2,00,000 - 2,50,000",0 years,none
Associate Telecaller,Paisabazaar,Chennai,"₹ 2,23,660 - 3,00,000",0-3 years,none
Human Resources (HR) Manager,Aloe Vera Of America,Work from home,"₹ 3,00,000 - 10,00,000",0-1 years,none
Human Resources (HR) Associate,Morningstar,Navi Mumbai                                            (Hybrid),"₹ 2,50,000",0-1 years,none
